train/explained_variance,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,time/time_elapsed,time/iterations,time/total_timesteps,train/std,time/fps
0.0,-0.0011308102402836084,9199,2.8341892743810604e-07,-2.8231041431427,0.0007,96,9200,46000,0.9968788623809814,476
0.0,-0.0011580282589420676,9299,2.838004888872092e-07,-2.8210840225219727,0.0007,97,9300,46500,0.9949039816856384,476
1.1920928955078125e-07,-0.0012483245227485895,9399,2.82704888832086e-07,-2.81215238571167,0.0007,98,9400,47000,0.9909013509750366,477
0.0,-0.00134887988679111,9499,2.820095801325806e-07,-2.819314956665039,0.0007,99,9500,47500,0.9938066005706787,477
0.0,-0.0014695341233164072,9599,2.831883705312066e-07,-2.8243002891540527,0.0007,100,9600,48000,0.9963643550872803,478
1.8715858459472656e-05,-0.0011955598602071404,9699,2.819838869072555e-07,-2.8417043685913086,0.0007,101,9700,48500,1.006453514099121,478
-1.1920928955078125e-07,-0.0013453823048621416,9799,2.8127357154517085e-07,-2.8447673320770264,0.0007,102,9800,49000,1.00808584690094,477
7.468461990356445e-05,-0.0011905917199328542,9899,2.816310029629676e-07,-2.824552059173584,0.0007,103,9900,49500,0.9985448122024536,477
-3.7550926208496094e-05,-0.0017767518293112516,9999,2.8148699016128376e-07,-2.838693380355835,0.0007,104,10000,50000,1.0049059391021729,476
0.0,-0.0012583720963448286,10099,2.804738130635087e-07,-2.830091953277588,0.0007,105,10100,50500,1.001145839691162,476
0.0,-0.0014571209903806448,10199,2.803917027449643e-07,-2.8124661445617676,0.0007,106,10200,51000,0.9918317794799805,476
0.0,-0.0011839654762297869,10299,2.805953158713237e-07,-2.817777633666992,0.0007,107,10300,51500,0.9954226016998291,477
7.522106170654297e-05,-0.0013147937133908272,10399,2.791348663322424e-07,-2.8062076568603516,0.0007,108,10400,52000,0.991056501865387,477
-1.1920928955078125e-07,-0.0016074550803750753,10499,2.7891823606296384e-07,-2.8114211559295654,0.0007,109,10500,52500,0.9929206371307373,478
0.0,-0.0009984340285882354,10599,2.7915382361243246e-07,-2.8111963272094727,0.0007,110,10600,53000,0.9942688345909119,478
-1.1920928955078125e-07,-0.001270045293495059,10699,2.791611279917561e-07,-2.8298587799072266,0.0007,111,10700,53500,1.0033398866653442,478
0.0,-0.0014346225652843714,10799,2.77544984328415e-07,-2.8297133445739746,0.0007,112,10800,54000,1.0033410787582397,479
1.1920928955078125e-07,-0.001336683752015233,10899,2.767642399703618e-07,-2.8362584114074707,0.0007,113,10900,54500,1.0080938339233398,479
0.0,-0.001090313890017569,10999,2.760753545771877e-07,-2.8432304859161377,0.0007,114,11000,55000,1.0107773542404175,479
0.0,-0.0014036193024367094,11099,2.7598511564974615e-07,-2.855614423751831,0.0007,115,11100,55500,1.0158352851867676,480
-3.7670135498046875e-05,-0.0013456635642796755,11199,2.762097039976652e-07,-2.857675552368164,0.0007,116,11200,56000,1.016906976699829,480
1.1920928955078125e-07,-0.001195236574858427,11299,2.7486618137118057e-07,-2.8594698905944824,0.0007,117,11300,56500,1.01827073097229,480
0.0,-0.0010885277297347784,11399,2.73873638434452e-07,-2.866591453552246,0.0007,118,11400,57000,1.022491216659546,481
0.0,-0.0016713496297597885,11499,2.7405127411839203e-07,-2.8583428859710693,0.0007,119,11500,57500,1.0179392099380493,481
0.0,-0.001022192882373929,11599,2.7316210093886184e-07,-2.8545823097229004,0.0007,120,11600,58000,1.018507719039917,481
0.0,-0.0010984345572069287,11699,2.7251317646914686e-07,-2.8490233421325684,0.0007,121,11700,58500,1.0152223110198975,482
0.0,-0.0014203834580257535,11799,2.706582904465904e-07,-2.8556571006774902,0.0007,122,11800,59000,1.0185906887054443,483
0.0,-0.0017656795680522919,11899,2.687588676053565e-07,-2.8573355674743652,0.0007,122,11900,59500,1.0174108743667603,483
-2.384185791015625e-07,-0.0012023209128528833,11999,2.6903111915999034e-07,-2.8480052947998047,0.0007,123,12000,60000,1.0147018432617188,483
0.0,-0.001791221322491765,12099,2.6853174972529814e-07,-2.8382811546325684,0.0007,125,12100,60500,1.0080645084381104,483
0.0,-0.0020595488604158163,12199,2.6822186782737845e-07,-2.841418981552124,0.0007,125,12200,61000,1.0095804929733276,484
0.0,-0.0012272843159735203,12299,2.6692026722230366e-07,-2.8458619117736816,0.0007,126,12300,61500,1.0140633583068848,484
1.9252300262451172e-05,-0.0011818127240985632,12399,2.657066602296254e-07,-2.8478808403015137,0.0007,127,12400,62000,1.0163288116455078,484
0.0,-0.0012463137973099947,12499,2.6498747729419847e-07,-2.830923318862915,0.0007,128,12500,62500,1.0084309577941895,484
0.0,-0.0011464315466582775,12599,2.637092677559849e-07,-2.8147387504577637,0.0007,129,12600,63000,1.0010802745819092,484
0.0,-0.001219661207869649,12699,2.6337107783547253e-07,-2.807624578475952,0.0007,130,12700,63500,0.9980171918869019,485
5.960464477539063e-08,-0.001573466113768518,12799,2.650366752732225e-07,-2.8091678619384766,0.0007,131,12800,64000,0.9990464448928833,485
-0.00011622905731201172,-0.0014020382659509778,12899,2.6396787689009216e-07,-2.8100500106811523,0.0007,132,12900,64500,0.9997389316558838,485
0.0,-0.0013501880457624793,12999,2.6236571670779085e-07,-2.793374538421631,0.0007,133,13000,65000,0.9924324750900269,485
-7.76052474975586e-05,-0.0012733039911836386,13099,2.6192225277554826e-07,-2.789092779159546,0.0007,134,13100,65500,0.9898983240127563,485
0.0,-0.0010170331224799156,13199,2.6063895575134666e-07,-2.78147554397583,0.0007,135,13200,66000,0.9855841398239136,485
0.0,-0.0011451848549768329,13299,2.6049463031085907e-07,-2.7888083457946777,0.0007,136,13300,66500,0.9880896806716919,486
0.0,-0.00137452338822186,13399,2.61167258486239e-07,-2.7964963912963867,0.0007,137,13400,67000,0.9918913245201111,486
0.0,-0.0010945888934656978,13499,2.6031997890640923e-07,-2.7961153984069824,0.0007,138,13500,67500,0.9925675392150879,486
0.0,-0.0015280467923730612,13599,2.599511788048403e-07,-2.806039571762085,0.0007,139,13600,68000,0.996063232421875,486
0.0,-0.0010079584317281842,13699,2.5754803800737136e-07,-2.794978380203247,0.0007,140,13700,68500,0.9915229082107544,486
0.0,-0.0009661182994022965,13799,2.576309157120704e-07,-2.78265380859375,0.0007,141,13800,69000,0.9844035506248474,486
0.0,-0.0011887660948559642,13899,2.5693029215290153e-07,-2.786733627319336,0.0007,142,13900,69500,0.9857969284057617,486
0.0,-0.0017006713896989822,13999,2.580754028258525e-07,-2.7810163497924805,0.0007,143,14000,70000,0.9810497760772705,486
0.0,-0.0012606628006324172,14099,2.5731134201123496e-07,-2.7877283096313477,0.0007,144,14100,70500,0.9860413074493408,486
-1.1920928955078125e-07,-0.0010027159005403519,14199,2.5456114371991134e-07,-2.7879786491394043,0.0007,145,14200,71000,0.9878708124160767,487
0.0,-0.0014279448660090566,14299,2.5485149990345235e-07,-2.8041088581085205,0.0007,146,14300,71500,0.993610143661499,487
0.0,-0.0011475012870505452,14399,2.57139589621147e-07,-2.7997875213623047,0.0007,147,14400,72000,0.9921789169311523,487
5.960464477539063e-08,-0.0011039425153285265,14499,2.5647673851381114e-07,-2.803433895111084,0.0007,148,14500,72500,0.9926923513412476,487
3.921985626220703e-05,-0.001116494880989194,14599,2.5679867121652933e-07,-2.8114795684814453,0.0007,149,14600,73000,0.9965459108352661,487
0.0,-0.0018774950876832008,14699,2.557631830768514e-07,-2.8124992847442627,0.0007,150,14700,73500,0.9950342178344727,486
5.960464477539063e-08,-0.0010579952504485846,14799,2.5548811777298397e-07,-2.783365249633789,0.0007,151,14800,74000,0.9828543066978455,487
0.0,-0.0017837854102253914,14899,2.5515856805213843e-07,-2.785943031311035,0.0007,152,14900,74500,0.9836348295211792,487
-3.9696693420410156e-05,-0.0012921077432110906,14999,2.5539628722981433e-07,-2.781705617904663,0.0007,153,15000,75000,0.9822766780853271,487
0.0,-0.0010345147456973791,15099,2.554359639361792e-07,-2.775938034057617,0.0007,154,15100,75500,0.9812374114990234,487
0.0,-0.001486276974901557,15199,2.5594482622182113e-07,-2.7852158546447754,0.0007,155,15200,76000,0.9856889247894287,487
5.960464477539063e-08,-0.0018688237760215998,15299,2.546740063280595e-07,-2.7818944454193115,0.0007,156,15300,76500,0.9830477833747864,487
0.0,-0.0010960028739646077,15399,2.553351237111201e-07,-2.7896714210510254,0.0007,157,15400,77000,0.9882190227508545,488
0.0,-0.001074543222784996,15499,2.550410158619343e-07,-2.8033673763275146,0.0007,158,15500,77500,0.9948323965072632,488
0.0,-0.0011267722584307194,15599,2.544265953474678e-07,-2.7921531200408936,0.0007,159,15600,78000,0.9895280599594116,488
0.0,-0.00125390593893826,15699,2.5523485192024964e-07,-2.786923885345459,0.0007,160,15700,78500,0.9863303899765015,488
0.0,-0.0012162282364442945,15799,2.555979676799325e-07,-2.805556297302246,0.0007,161,15800,79000,0.9966936111450195,489
5.960464477539063e-08,-0.0014294760767370462,15899,2.5510820478302776e-07,-2.8130009174346924,0.0007,162,15900,79500,0.9992536306381226,489
0.0,-0.0012149401009082794,15999,2.5460548158662277e-07,-2.804485321044922,0.0007,163,16000,80000,0.9962997436523438,489
0.0,-0.0010679949773475528,16099,2.5425759986319463e-07,-2.8085598945617676,0.0007,164,16100,80500,0.9984009265899658,489
-1.1920928955078125e-07,-0.0015113651752471924,16199,2.55107892144224e-07,-2.8125619888305664,0.0007,165,16200,81000,0.9989488124847412,489
-3.933906555175781e-05,-0.0013397550210356712,16299,2.5398753678018693e-07,-2.8257808685302734,0.0007,166,16300,81500,1.0068609714508057,488
0.0,-0.0012807206949219108,16399,2.5363701183778176e-07,-2.8294596672058105,0.0007,167,16400,82000,1.0086369514465332,488
