time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
108544,53,592,183,0.062158203125,0.010279322,0.0016768574714660645,-0.002867170395620633,1.2428476810455322,0.0003,-0.011263430118560791,0.2,-3.288569814711809,520,2.970918255224067e-08
110592,54,593,186,0.03642578125,0.006633962,-0.00241243839263916,-0.002415235896478407,1.2252812385559082,0.0003,-0.0062003061175346375,0.2,-3.2468549847602843,530,1.850494464648299e-05
112640,55,593,189,0.08671875,0.005524278,2.002716064453125e-05,-0.0017806082796596456,1.2324154376983643,0.0003,-0.015042051672935486,0.2,-3.2407239064574243,540,2.3587342332952772e-07
114688,56,595,192,0.11875,0.012547933,0.0002173781394958496,-0.00031330747588071973,1.2465229034423828,0.0003,-0.006991859525442123,0.2,-3.259645115584135,550,4.421540584232878e-07
116736,57,595,196,0.076904296875,0.0071908836,0.00036710500717163086,-0.0021767658108728938,1.2685728073120117,0.0003,-0.0160047747194767,0.2,-3.290940364450216,560,1.0750853246537677e-07
118784,58,595,199,0.085546875,0.012876962,-0.00013649463653564453,-0.00247021841496462,1.2934507131576538,0.0003,0.006129223853349686,0.2,-3.329163509607315,570,4.897421013523064e-06
120832,59,596,202,0.056396484375,0.005787738,-0.00020492076873779297,-0.0008243706761277281,1.294774055480957,0.0003,0.026749012991786003,0.2,-3.349717105180025,580,2.151059081863301e-06
122880,60,595,206,0.063916015625,0.005289587,1.7583370208740234e-05,-0.0021883982888539323,1.3146816492080688,0.0003,-0.0033366361167281866,0.2,-3.3657591357827186,590,6.9367971360166645e-06
124928,61,595,209,0.087841796875,0.009794004,-0.00017058849334716797,-0.001721636780712288,1.3440476655960083,0.0003,-0.020651286467909813,0.2,-3.40627416074276,600,2.172081457730459e-07
126976,62,595,213,0.046630859375,0.0070841317,0.00018727779388427734,-0.0010857573623070493,1.3574392795562744,0.0003,-0.01876121014356613,0.2,-3.4376112818717957,610,2.9495457683184623e-05
129024,63,596,216,0.046728515625,0.0062811538,3.9458274841308594e-05,0.00014397758786799386,1.3814454078674316,0.0003,0.013622627593576908,0.2,-3.464212755858898,620,6.55972446587095e-07
131072,64,597,219,0.063916015625,0.008872002,0.0001436471939086914,-0.0010217532646493055,1.40562105178833,0.0003,-0.01052563451230526,0.2,-3.5008605808019637,630,3.012252880913788e-08
133120,65,597,222,0.0234375,0.00545728,-0.0003675222396850586,-0.0002515363899874501,1.4180591106414795,0.0003,-0.017027003690600395,0.2,-3.5246591076254843,640,7.443426368940686e-08
135168,66,597,226,0.11015625,0.009571288,-0.00031185150146484375,-0.003964959269796964,1.436556100845337,0.0003,-0.01899794116616249,0.2,-3.5476513355970383,650,2.1171070183329638e-08
137216,67,597,229,0.016064453125,0.004861584,-6.687641143798828e-05,-0.0004188121441984549,1.460482120513916,0.0003,0.0055863456800580025,0.2,-3.578160124272108,660,1.5863437025573197e-08
139264,68,598,232,0.1091796875,0.010317718,-9.489059448242188e-05,-0.0028978349742828867,1.4829764366149902,0.0003,-0.016269460320472717,0.2,-3.6111133567988873,670,2.7700962885262256e-06
141312,69,598,236,0.015673828125,0.0028977967,0.0009654760360717773,-0.0008375363817322068,1.5348504781723022,0.0003,-0.006907507311552763,0.2,-3.6629171162843703,680,3.220267779341086e-07
143360,70,598,239,0.052490234375,0.0065406812,0.0002772808074951172,-0.002432672352006193,1.5263192653656006,0.0003,0.008545653894543648,0.2,-3.685886760056019,690,4.7085547480870555e-05
145408,71,598,243,0.029150390625,0.007060026,-0.0007690191268920898,-0.0005972756160190329,1.530900001525879,0.0003,-0.021272417157888412,0.2,-3.6894606739282607,700,4.021056397202657e-09
147456,72,598,246,0.087548828125,0.009599177,-9.572505950927734e-05,-0.0024397947068791836,1.5540459156036377,0.0003,0.004721531644463539,0.2,-3.704706948250532,710,3.0152135939781205e-09
149504,73,599,249,0.046875,0.006152395,6.031990051269531e-05,-0.0017233427097380627,1.5808086395263672,0.0003,-0.011706898920238018,0.2,-3.7387319199740885,720,6.603886711372131e-09
151552,74,600,252,0.04560546875,0.009077866,-0.0006797313690185547,-2.0446660346351565e-05,1.6045479774475098,0.0003,0.0018458106787875295,0.2,-3.7713450655341147,730,9.337977082835346e-10
153600,75,600,255,0.04189453125,0.00517751,-0.0005943775177001953,-0.0013870561866497154,1.6349678039550781,0.0003,-0.006565412972122431,0.2,-3.802864811569452,740,2.041653992936065e-06
155648,76,600,259,0.111181640625,0.007882102,-1.3589859008789062e-05,-0.004520983956172131,1.650342345237732,0.0003,-0.0028155744075775146,0.2,-3.8287105709314346,750,9.316746171942641e-08
157696,77,600,262,0.05966796875,0.007121566,-0.0009677410125732422,-0.0017139604096882977,1.6747024059295654,0.0003,0.012620707973837852,0.2,-3.852924943715334,760,3.739248944325949e-06
159744,78,600,265,0.015966796875,0.0043010665,-0.00029158592224121094,-0.0002775319022475742,1.7047593593597412,0.0003,0.003970961086452007,0.2,-3.885347971320152,770,9.961817635033526e-08
161792,79,600,269,0.0390625,0.004378816,0.0005908608436584473,-0.0007304076469154097,1.703967809677124,0.0003,0.0037011420354247093,0.2,-3.9015600726008417,780,6.25974703576381e-06
163840,80,600,272,0.00859375,0.002502924,-0.0006868839263916016,-0.00010538621427258477,1.743904948234558,0.0003,-0.012001697905361652,0.2,-3.9247246704995633,790,8.752974778057426e-08
165888,81,600,276,0.0412109375,0.007011028,0.00011098384857177734,-0.0008467582389130257,1.7701904773712158,0.0003,-0.015282380394637585,0.2,-3.96388920545578,800,2.7632632027022212e-09
167936,82,600,279,0.0869140625,0.0076076603,0.0008154511451721191,-0.0026056917718960903,1.7695986032485962,0.0003,-0.02038077637553215,0.2,-3.9752054065465927,810,6.057150093449157e-06
169984,83,600,282,0.06533203125,0.006933395,0.0011692047119140625,-0.0011767500851419753,1.7936619520187378,0.0003,0.006377957761287689,0.2,-3.990646171569824,820,1.1601288565259429e-09
172032,84,601,286,0.01298828125,0.0035061438,6.073713302612305e-05,-0.00023246612181537785,1.8196265697479248,0.0003,0.00903644785284996,0.2,-4.021109700202942,830,1.860702308923205e-07
174080,85,601,289,0.035791015625,0.003255974,-0.0015528202056884766,-0.00034768970363074914,1.81139075756073,0.0003,-0.014480561949312687,0.2,-4.030616477131844,840,2.2836785514818626e-05
176128,86,602,292,0.037744140625,0.0030238028,-0.0018423795700073242,-0.0007889746339060366,1.8105435371398926,0.0003,-0.005583988502621651,0.2,-4.0223113432526585,850,3.647565693586382e-10
